#  time, MeanKE MeanKEDR MeanP
0 1.24981176165412808E-01 4.68679415817068389E-04 -5.50482138072360219E-18
7.36310778E-03 1.24976036869823143E-01 6.96889027299841331E-04 6.46302127811765315E-05
1.47275355E-02 1.24971179774792246E-01 6.96868573583368637E-04 8.46182526954686846E-05
2.20922042E-02 1.24966416613036382E-01 6.96857803899382554E-04 8.97446814433979254E-05
2.94571665E-02 1.24961684309478308E-01 6.96856158855822957E-04 9.09465104650377727E-05
3.68224822E-02 1.24956961745046183E-01 6.96863454392466076E-04 8.78717016907256787E-05
4.41882138E-02 1.24952241792027380E-01 6.96879632913190898E-04 8.04509506227955867E-05
5.15544245E-02 1.24947521988625923E-01 6.96904680058476364E-04 6.86955241250972106E-05
5.89210659E-02 1.24942801501792281E-01 6.96938596402235135E-04 5.25970096569367405E-05
6.62879802E-02 1.24938080088723813E-01 6.96981387516296884E-04 3.21677488175917337E-05
7.36552313E-02 1.24933357539104214E-01 6.97033062417238918E-04 7.41078715023422454E-06
8.10228828E-02 1.24928633701605563E-01 6.97093632189443348E-04 -2.16701585165157511E-05
8.83909984E-02 1.24923908445272791E-01 6.97163109525752718E-04 -5.50704783001048240E-05
9.57596415E-02 1.24919181646632391E-01 6.97241508586074216E-04 -9.27850486605813290E-05
1.03128876E-01 1.24914453185353436E-01 6.97328844933794252E-04 -1.34808382958237239E-04
1.10498765E-01 1.24909722942639953E-01 6.97425135500576686E-04 -1.81134697477735294E-04
1.17869371E-01 1.24904990800776716E-01 6.97530398559960342E-04 -2.31757933085133678E-04
1.25240758E-01 1.24900256642846874E-01 6.97644653706724687E-04 -2.86671758337060255E-04
1.32612989E-01 1.24895520352644757E-01 6.97767921836415107E-04 -3.45869569732833290E-04
1.39986125E-01 1.24890781814595009E-01 6.97900225128338710E-04 -4.09344489720143956E-04
1.47360230E-01 1.24886040913695762E-01 6.98041587028380272E-04 -4.77089363793332412E-04
1.54735366E-01 1.24881297535476235E-01 6.98192032232941616E-04 -5.49096757682846588E-04
1.62111286E-01 1.24876551764494859E-01 6.98351580706532715E-04 -6.25355852580585739E-04
1.69488034E-01 1.24871803499075257E-01 6.98520257313878321E-04 -7.05857793986102615E-04
1.76865672E-01 1.24867052625766722E-01 6.98698089173196805E-04 -7.90593705908011974E-04
1.84244262E-01 1.24862299031467450E-01 6.98885104643545241E-04 -8.79533552557849462E-04
1.91623867E-01 1.24857542603462074E-01 6.99081333259688668E-04 -9.72733980541227029E-04
1.99004548E-01 1.24852783229364092E-01 6.99286805718106626E-04 -1.07011058384947591E-03
2.06386366E-01 1.24848020797117945E-01 6.99501553863585471E-04 -1.17168796219821762E-03
2.13769382E-01 1.24843255194989622E-01 6.99725610676651282E-04 -1.27745090592738418E-03
2.21153657E-01 1.24838486311495356E-01 6.99959010260367206E-04 -1.38738863732271287E-03
2.28539251E-01 1.24833714035460536E-01 7.00201787828434665E-04 -1.50149021921850540E-03
2.35926224E-01 1.24828938255939367E-01 7.00453979693051263E-04 -1.61974440929076144E-03
2.43314636E-01 1.24824158862217094E-01 7.00715623253175173E-04 -1.74213964622041222E-03
2.50704546E-01 1.24819375743810412E-01 7.00986756983225899E-04 -1.86866404547400881E-03
2.58095936E-01 1.24814588840276755E-01 7.01267417852085716E-04 -1.99930407191988273E-03
2.65488628E-01 1.24809798195301372E-01 7.01557637606079810E-04 -2.13404280427608633E-03
2.72882681E-01 1.24805003698496328E-01 7.01857455528643410E-04 -2.27286671966984988E-03
2.80278155E-01 1.24800205239561104E-01 7.02166913123470553E-04 -2.41576208947847379E-03
2.87675109E-01 1.24795402708364409E-01 7.02486052911665822E-04 -2.56271486926794257E-03
2.95073601E-01 1.24790595994882528E-01 7.02814918419900742E-04 -2.71371067176889207E-03
3.02473690E-01 1.24785784989255757E-01 7.03153554169544978E-04 -2.86873475972972570E-03
3.09875433E-01 1.24780969581731349E-01 7.03502005664175998E-04 -3.02777203900731103E-03
3.17278887E-01 1.24776149662757838E-01 7.03860319379065675E-04 -3.19080705679651013E-03
3.24684110E-01 1.24771325122857366E-01 7.04228542749265338E-04 -3.35782399147604863E-03
3.32091157E-01 1.24766495852684275E-01 7.04606724158708783E-04 -3.52880664987618390E-03
3.39500084E-01 1.24761661743056945E-01 7.04994912928649906E-04 -3.70373846004164523E-03
3.46910948E-01 1.24756822684868790E-01 7.05393159306942001E-04 -3.88260246452926420E-03
3.54323802E-01 1.24751978569163674E-01 7.05801514456735500E-04 -4.06538131509995553E-03
3.61738700E-01 1.24747129288537775E-01 7.06220030333429478E-04 -4.25205720979547012E-03
3.69155401E-01 1.24742274925797494E-01 7.06648745147790301E-04 -4.44260467567348955E-03
3.76573963E-01 1.24737415371444685E-01 7.07087709394167664E-04 -4.63700453215589673E-03
3.83994440E-01 1.24732550516047799E-01 7.07536976703795027E-04 -4.83523738181252001E-03
3.91416885E-01 1.24727680250199674E-01 7.07996601569826846E-04 -5.03728344772332460E-03
3.98841354E-01 1.24722804464597908E-01 7.08466639335866627E-04 -5.24312253308882332E-03
4.06267899E-01 1.24717923050003662E-01 7.08947146184868058E-04 -5.45273401531160429E-03
4.13696572E-01 1.24713035897241711E-01 7.09438179127070442E-04 -5.66609683660882022E-03
4.21127427E-01 1.24708142897231103E-01 7.09939795989965707E-04 -5.88318949963970248E-03
4.28560514E-01 1.24703243940945563E-01 7.10452055406076842E-04 -6.10399005863540046E-03
4.35995885E-01 1.24698338919426055E-01 7.10975016802896289E-04 -6.32847611330090987E-03
4.43433590E-01 1.24693427723737080E-01 7.11508740391279229E-04 -6.55662480004601169E-03
4.50873677E-01 1.24688510245030179E-01 7.12053287155174782E-04 -6.78841278824201221E-03
4.58316198E-01 1.24683586374495975E-01 7.12608718840530278E-04 -7.02381626716421480E-03
4.65761200E-01 1.24678656003345337E-01 7.13175097944736985E-04 -7.26281094480724261E-03
4.73208730E-01 1.24673719022835319E-01 7.13752487705038578E-04 -7.50537203709993137E-03
4.80658609E-01 1.24668775475687707E-01 7.14340936508718605E-04 -7.75146691614455197E-03
4.88110846E-01 1.24663825278179291E-01 7.14940502994216979E-04 -8.00106807536592017E-03
4.95565490E-01 1.24658868320573421E-01 7.15551251144121918E-04 -8.25414887334933317E-03
5.03022588E-01 1.24653904493132600E-01 7.16173246076569781E-04 -8.51068221777086763E-03
5.10482187E-01 1.24648933686121927E-01 7.16806553597624727E-04 -8.77064050258191848E-03
5.17944335E-01 1.24643955789833227E-01 7.17451240189983489E-04 -9.03399559571333235E-03
5.25409076E-01 1.24638970694568862E-01 7.18107373001515472E-04 -9.30071883216534827E-03
5.32876456E-01 1.24633978290620451E-01 7.18775019834167568E-04 -9.57078100329756577E-03
5.40346520E-01 1.24628978468328447E-01 7.19454249131671144E-04 -9.84415235236570790E-03
5.47819310E-01 1.24623971118007160E-01 7.20145129968832298E-04 -1.01208025639582758E-02
5.55294871E-01 1.24618956130005246E-01 7.20847732039974040E-04 -1.04007007572983201E-02
5.62773244E-01 1.24613933394662008E-01 7.21562125647368189E-04 -1.06838154775584400E-02
5.70254471E-01 1.24608902802324159E-01 7.22288381689145643E-04 -1.09701146875346416E-02
5.77738594E-01 1.24603864243343840E-01 7.23026571648512908E-04 -1.12595657631485730E-02
5.85225651E-01 1.24598817608099627E-01 7.23776767581168958E-04 -1.15521354769100668E-02
5.92715682E-01 1.24593762786925910E-01 7.24539042103834806E-04 -1.18477900004472416E-02
6.00208691E-01 1.24588699693771884E-01 7.25313465281545605E-04 -1.21464935328742737E-02
6.07704523E-01 1.24583628350473388E-01 7.26100092635477770E-04 -1.24482033139514982E-02
6.15203216E-01 1.24578548646022205E-01 7.26898994662487376E-04 -1.27528833053926292E-02
6.22704811E-01 1.24573460469349639E-01 7.27710245329988865E-04 -1.30604970260779062E-02
6.30209345E-01 1.24568363709373464E-01 7.28533919116450116E-04 -1.33710073808779861E-02
