#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24699045417061311E-01 7.67425466204941912E-04 -1.14385921606686266E-17 3.23295370284709281E-04 2.99802718128343358E-04
2.94524311E-02 1.24671293654038021E-01 7.67445510078338788E-04 9.46628079578990238E-04 3.23545913607074982E-04 2.99884816064942771E-04
5.89836413E-02 1.24647739687294312E-01 7.67878472869970661E-04 9.52303581334278614E-04 3.24201789293228468E-04 3.00279649118344500E-04
8.85245137E-02 1.24625526616425911E-01 7.68667658479138408E-04 8.35169871576577592E-04 3.25177802670883272E-04 3.00941164157357728E-04
1.18078374E-01 1.24603673919098226E-01 7.69782218724171692E-04 6.61685076527253140E-04 3.26421889091764699E-04 3.01842023631237999E-04
1.47648983E-01 1.24581845824187160E-01 7.71197156965522119E-04 4.24737268833878562E-04 3.27874577207279015E-04 3.02958218722851769E-04
1.77240215E-01 1.24559922787387548E-01 7.72888937532617841E-04 1.24265379971040746E-04 3.29487204891033066E-04 3.04266285509912022E-04
2.06855941E-01 1.24537857930078863E-01 7.74842408186880542E-04 -2.39189747267478368E-04 3.31231366407275859E-04 3.05750767049659390E-04
2.36494953E-01 1.24515632743512017E-01 7.77048337912320431E-04 -6.64994979940316416E-04 3.33088088815712698E-04 3.07402034160753567E-04
2.66145527E-01 1.24493245126182525E-01 7.79501433506616932E-04 -1.15215180721799592E-03 3.35042769378946208E-04 3.09214561663493585E-04
2.95811629E-01 1.24470684271914447E-01 7.82198886917702266E-04 -1.69971866625456217E-03 3.37083163268415346E-04 3.11184969528912063E-04
3.25497164E-01 1.24447940474807062E-01 7.85140057808071082E-04 -2.30668646029085368E-03 3.39199851954681704E-04 3.13311940489578397E-04
3.55205961E-01 1.24425004453783780E-01 7.88325859609741771E-04 -2.97196199297988187E-03 3.41385702810451748E-04 3.15595610322540665E-04
3.84941756E-01 1.24401867095784699E-01 7.91757744570383026E-04 -3.69435955847166164E-03 3.43634647815591206E-04 3.18036555803635160E-04
4.14708176E-01 1.24378519364839998E-01 7.95437677137846087E-04 -4.47259542272929883E-03 3.45941498202167455E-04 3.20635770600467384E-04
4.44508726E-01 1.24354952267804922E-01 7.99368356118068798E-04 -5.30528181975987393E-03 3.48302048854332133E-04 3.23394889941983293E-04
4.74346777E-01 1.24331156833794462E-01 8.03553223434873070E-04 -6.19092064474977000E-03 3.50713017992537366E-04 3.26316202055134286E-04
5.04225548E-01 1.24307124097999822E-01 8.07996377579271946E-04 -7.12789688202740586E-03 3.53171940752269485E-04 3.29402564484547336E-04
5.34148101E-01 1.24282845088874827E-01 8.12702461787003384E-04 -8.11447185426518967E-03 3.55677067618874790E-04 3.32657295326216156E-04
5.64117327E-01 1.24258310818779305E-01 8.17676595021492184E-04 -9.14877638852404883E-03 3.58227303516603368E-04 3.36084107438161560E-04
5.94135940E-01 1.24233512276972255E-01 8.22924361256668403E-04 -1.02288039833884660E-02 3.60822075116014058E-04 3.39687101112145107E-04
6.24206470E-01 1.24208440423305477E-01 8.28451803063874961E-04 -1.13524040745886408E-02 3.63460913580140811E-04 3.43470761204608369E-04
