#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24981176168378685E-01 4.68679415828199297E-04 3.58063961071907322E-18 3.00664783771895008E-04 3.22773203192209743E-04
7.36310778E-03 1.24975512005712316E-01 4.68660820829751963E-04 6.62719953304965467E-05 3.00662144033318193E-04 3.22752209507677038E-04
1.47275470E-02 1.24970130708850005E-01 4.68648578846637346E-04 9.00490962174700177E-05 3.00666355972727258E-04 3.22737479576026647E-04
2.20922388E-02 1.24964843583972807E-01 4.68641981570684760E-04 9.77196511909394458E-05 3.00676433654684854E-04 3.22728188809460895E-04
2.94572354E-02 1.24959587369135372E-01 4.68640791401694705E-04 1.01480496428707899E-04 3.00691807227720172E-04 3.22724064002908478E-04
3.68225971E-02 1.24954340864431065E-01 4.68644928901470873E-04 1.00965042367787413E-04 3.00712080290490257E-04 3.22725018018126322E-04
4.41883863E-02 1.24949096897790587E-01 4.68654367680115510E-04 9.60874228523321186E-05 3.00736947484133484E-04 3.22731026887967259E-04
5.15546665E-02 1.24943852975984315E-01 4.68669099336976858E-04 8.69064257472346245E-05 3.00766157171898868E-04 3.22742088784024397E-04
5.89213879E-02 1.24938608248454985E-01 4.68689121421356691E-04 7.33720621833155052E-05 3.00799489927825012E-04 3.22758210008848882E-04
6.62883938E-02 1.24933362463277034E-01 4.68714433151454441E-04 5.55073554003267106E-05 3.00836747746461393E-04 3.22779400016807365E-04
7.36557481E-02 1.24928115386994110E-01 4.68745035205353781E-04 3.33181327819426017E-05 3.00877752976863708E-04 3.22805670754306654E-04
8.10235146E-02 1.24922866845792901E-01 4.68780928925169121E-04 6.80862141277368294E-06 3.00922346481176557E-04 3.22837035853233061E-04
8.83917572E-02 1.24917616686817737E-01 4.68822116171415835E-04 -2.40165235242785533E-05 3.00970385456978686E-04 3.22873510421959795E-04
9.57605397E-02 1.24912364765158837E-01 4.68868599273535307E-04 -5.91520185105623647E-05 3.01021740856751980E-04 3.22915110952788414E-04
1.03129926E-01 1.24907110939428426E-01 4.68920381012442194E-04 -9.85921379923368029E-05 3.01076295181526359E-04 3.22961855270142496E-04
1.10499979E-01 1.24901855070201684E-01 4.68977464613752127E-04 -1.42330823603130764E-04 3.01133940794333583E-04 3.23013762493907998E-04
1.17870762E-01 1.24896597019426417E-01 4.69039853744556041E-04 -1.90361727882455646E-04 3.01194578676095503E-04 3.23070853009160114E-04
1.25242340E-01 1.24891336650179888E-01 4.69107552511372557E-04 -2.42678227649113017E-04 3.01258117530731940E-04 3.23133148439176936E-04
1.32614774E-01 1.24886073826520380E-01 4.69180565458500692E-04 -2.99273425804236399E-04 3.01324473131038962E-04 3.23200671620579513E-04
1.39988128E-01 1.24880808413403668E-01 4.69258897566535377E-04 -3.60140151907756289E-04 3.01393567616284927E-04 3.23273446580136647E-04
1.47362463E-01 1.24875540276604496E-01 4.69342554250947255E-04 -4.25270958195235883E-04 3.01465328027515254E-04 3.23351498513010645E-04
1.54737843E-01 1.24870269282649965E-01 4.69431541360726021E-04 -4.94658118263543523E-04 3.01539683594357634E-04 3.23434853762152603E-04
1.62114013E-01 1.24864995525463610E-01 4.69525861016901753E-04 -5.68290619104979355E-04 3.01616560233379267E-04 3.23523535879316926E-04
1.69491024E-01 1.24859718880606513E-01 4.69625519105847816E-04 -6.46159328940265859E-04 3.01695887602089312E-04 3.23617572621436218E-04
1.76868940E-01 1.24854439216129362E-01 4.69730522076522493E-04 -7.28255075264101076E-04 3.01777598402815182E-04 3.23716992952509538E-04
1.84247821E-01 1.24849156400604941E-01 4.69840876808298345E-04 -8.14568440785827757E-04 3.01861629317431936E-04 3.23821826902103392E-04
1.91627731E-01 1.24843870303118998E-01 4.69956590609614327E-04 -9.05068071681309301E-04 3.01947920994293688E-04 3.23932105546951416E-04
1.99008731E-01 1.24838580793245751E-01 4.70077671216567359E-04 -9.99812129282265979E-04 3.02036417696024842E-04 3.24047860993531675E-04
2.06390883E-01 1.24833287741019594E-01 4.70204126791508878E-04 -1.09871361488864594E-03 3.02127066958491339E-04 3.24169126360697695E-04
2.13774247E-01 1.24827991016902409E-01 4.70335965921653536E-04 -1.20179718487730888E-03 3.02219819346534739E-04 3.24295935763423777E-04
2.21158885E-01 1.24822690491758925E-01 4.70473197617705464E-04 -1.30904706747918070E-03 3.02314628316182319E-04 3.24428324296772194E-04
2.28544857E-01 1.24817386036825531E-01 4.70615831312497647E-04 -1.42045186581952121E-03 3.02411450169596412E-04 3.24566328020357820E-04
2.35932223E-01 1.24812077523684964E-01 4.70763876859628763E-04 -1.53600004254042847E-03 3.02510244008256067E-04 3.24709983943278590E-04
2.43321044E-01 1.24806764824240621E-01 4.70917344532104944E-04 -1.65567975081945041E-03 3.02610971329650533E-04 3.24859330009448738E-04
2.50711377E-01 1.24801447810696339E-01 4.71076245020932052E-04 -1.77947882321646518E-03 3.02713594680894019E-04 3.25014405083345979E-04
2.58103193E-01 1.24796126420842549E-01 4.71240587387575531E-04 -1.90738326566114945E-03 3.02818074455400992E-04 3.25175246930413213E-04
2.65496325E-01 1.24790800689122836E-01 4.71410377733662452E-04 -2.03937620213984075E-03 3.02924367714858497E-04 3.25341890868304623E-04
2.72890835E-01 1.24785470488040104E-01 4.71585627337742415E-04 -2.17544377604160554E-03 3.03032434776514333E-04 3.25514377727342352E-04
2.80286780E-01 1.24780135690243932E-01 4.71766347893123200E-04 -2.31557197320302142E-03 3.03142237539132196E-04 3.25692749196325622E-04
2.87684221E-01 1.24774796168570443E-01 4.71952551506450409E-04 -2.45974646932113281E-03 3.03253739978352483E-04 3.25877047808216503E-04
2.95083216E-01 1.24769451796051228E-01 4.72144250696063977E-04 -2.60795259786207080E-03 3.03366908112849575E-04 3.26067316925950632E-04
3.02483824E-01 1.24764102445907785E-01 4.72341458390220512E-04 -2.76017534323218629E-03 3.03481709850323030E-04 3.26263600728427753E-04
3.09886102E-01 1.24758747991550387E-01 4.72544187925239153E-04 -2.91639933455567664E-03 3.03598114863583952E-04 3.26465944196665094E-04
3.17290108E-01 1.24753388306571192E-01 4.72752453043575368E-04 -3.07660884216073112E-03 3.03716094530021821E-04 3.26674393100091374E-04
3.24695899E-01 1.24748023264738370E-01 4.72966267891853840E-04 -3.24078776915889431E-03 3.03835621936240864E-04 3.26888993982979372E-04
3.32103531E-01 1.24742652739985818E-01 4.73185647018857427E-04 -3.40891964778038646E-03 3.03956671918392590E-04 3.27109794151059056E-04
3.39513061E-01 1.24737276606415315E-01 4.73410605373511041E-04 -3.58098763153444095E-03 3.04079220995536988E-04 3.27336841658312501E-04
3.46924544E-01 1.24731894738278240E-01 4.73641158302852449E-04 -3.75697448981378778E-03 3.04203246832598158E-04 3.27570185293958572E-04
3.54338035E-01 1.24726507009976603E-01 4.73877321550025907E-04 -3.93686260322198556E-03 3.04328726971155560E-04 3.27809874569658208E-04
3.61753567E-01 1.24721113312716958E-01 4.74119110498013956E-04 -4.12063340915805147E-03 3.04455637263903185E-04 3.28055958937878271E-04
3.69170919E-01 1.24715713719885699E-01 4.74366532435903951E-04 -4.30826181269793832E-03 3.04583948167186022E-04 3.28308479865640796E-04
3.76590150E-01 1.24710308105411047E-01 4.74619603688327318E-04 -4.49972829149180437E-03 3.04713634965716258E-04 3.28567488258296682E-04
3.84011312E-01 1.24704896343250118E-01 4.74878340972229593E-04 -4.69501317207139928E-03 3.04844674058889133E-04 3.28833035688091751E-04
3.91434461E-01 1.24699478307434899E-01 4.75142761394777263E-04 -4.89409641060644610E-03 3.04977043241091701E-04 3.29105174380879800E-04
3.98859651E-01 1.24694053872088956E-01 4.75412882451108423E-04 -5.09695754489738768E-03 3.05110721680450518E-04 3.29383957202870989E-04
4.06286935E-01 1.24688622911430610E-01 4.75688722022031291E-04 -5.30357568651064308E-03 3.05245689836427289E-04 3.29669437647515441E-04
4.13716367E-01 1.24683185299770599E-01 4.75970298371742283E-04 -5.51392951448919592E-03 3.05381929400224664E-04 3.29961669822502240E-04
4.21147997E-01 1.24677740911502299E-01 4.76257630145553743E-04 -5.72799726835263034E-03 3.05519423272965749E-04 3.30260708436927745E-04
4.28581879E-01 1.24672289621098401E-01 4.76550736367673173E-04 -5.94575674091751914E-03 3.05658155567327947E-04 3.30566608788581036E-04
4.36018064E-01 1.24666831303104242E-01 4.76849636438989727E-04 -6.16718527059210292E-03 3.05798111577153036E-04 3.30879426751397960E-04
4.43456600E-01 1.24661365832124532E-01 4.77154350134907591E-04 -6.39225973623690647E-03 3.05939277583340509E-04 3.31199218763050330E-04
4.50897540E-01 1.24655893082816965E-01 4.77464897603171621E-04 -6.62095654658128880E-03 3.06081640330703106E-04 3.31526041812653936E-04
4.58340932E-01 1.24650412929885962E-01 4.77781299361685436E-04 -6.85325163791545341E-03 3.06225186256796691E-04 3.31859953428513543E-04
4.65786824E-01 1.24644925248068569E-01 4.78103576296269508E-04 -7.08912046142065773E-03 3.06369901021001320E-04 3.32201011665704819E-04
4.73235265E-01 1.24639429912137126E-01 4.78431749658327847E-04 -7.32853797861102510E-03 3.06515769773008074E-04 3.32549275093368566E-04
4.80686045E-01 1.24633926986381316E-01 4.78765829479181170E-04 -7.57147061880872243E-03 3.06662772767241716E-04 3.32904790438002293E-04
4.88139204E-01 1.24628416353147448E-01 4.79105836710601589E-04 -7.81789137753285263E-03 3.06810895753303534E-04 3.33267616061798302E-04
4.95594788E-01 1.24622897886095554E-01 4.79451793178138879E-04 -8.06777337287739420E-03 3.06960125665318702E-04 3.33637811342525300E-04
5.03052846E-01 1.24617371458873888E-01 4.79803721068203844E-04 -8.32108926893745417E-03 3.07110450438816704E-04 3.34015436119867656E-04
5.10513426E-01 1.24611836945130214E-01 4.80161642925539304E-04 -8.57781121738069099E-03 3.07261858987276082E-04 3.34400550682797753E-04
5.17976574E-01 1.24606294218513228E-01 4.80525581650595619E-04 -8.83791084213813791E-03 3.07414341164961402E-04 3.34793215756948878E-04
5.25442336E-01 1.24600743152669766E-01 4.80895560496827834E-04 -9.10135924020749783E-03 3.07567887724369347E-04 3.35193492491992731E-04
