#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction MeanStrainRate
0 1.24981176165412808E-01 5.21948133718342657E-04 -5.50482138072360219E-18 5.73175060267412954E-05 5.32687179012574421E-05 0.00000000000000000E+00
7.36310778E-03 1.24976973579574227E-01 5.21936334033714614E-04 6.23617049992026607E-05 5.73233579743958059E-05 5.32700321853067098E-05 5.51452087631646770E-01
1.47275167E-02 1.24973051440770810E-01 5.21935967805486640E-04 7.33454873882289341E-05 5.73374336641735649E-05 5.32764354532016168E-05 5.51449817760947703E-01
2.20921482E-02 1.24969222598287355E-01 5.21945660385586497E-04 7.26451621568308434E-05 5.73583150493131574E-05 5.32872550884751908E-05 5.51460106111422710E-01
2.94570547E-02 1.24965424412173162E-01 5.21964852310310415E-04 6.79287859487798983E-05 5.73853488951332164E-05 5.33021663842987259E-05 5.51481149796178016E-01
3.68222961E-02 1.24961635927292883E-01 5.21993089649153662E-04 5.90047783620570583E-05 5.74173060792711773E-05 5.33207934166252307E-05 5.51511906031939336E-01
4.41879350E-02 1.24957850089817746E-01 5.22029895897409670E-04 4.57219701239445608E-05 5.74531986670458951E-05 5.33426851142125122E-05 5.51551648871871913E-01
5.15540343E-02 1.24954064482930116E-01 5.22074953103976794E-04 2.81044867761485411E-05 5.74924827451597420E-05 5.33675311275374307E-05 5.51599818908479200E-01
5.89205461E-02 1.24950278294897174E-01 5.22128065164011732E-04 6.15017554043687567E-06 5.75348466899684098E-05 5.33951371331603430E-05 5.51655955133715348E-01
6.62873124E-02 1.24946491287836317E-01 5.22189109253235308E-04 -2.01379587163845639E-05 5.75800936497255418E-05 5.34253805265968025E-05 5.51719655602381565E-01
7.36543968E-02 1.24942703283410880E-01 5.22258006273858765E-04 -5.07557903087232809E-05 5.76280734530677566E-05 5.34581808100019623E-05 5.51790557633953349E-01
8.10218629E-02 1.24938914161678474E-01 5.22334693701584731E-04 -8.56985748644214243E-05 5.76786382519747150E-05 5.34934733986819808E-05 5.51868335963777712E-01
8.83897742E-02 1.24935123822734584E-01 5.22419113564918632E-04 -1.24961593134654034E-04 5.77316423766100484E-05 5.35311977455082611E-05 5.51952699255185086E-01
9.57581943E-02 1.24931332173827458E-01 5.22511211503001228E-04 -1.68540147199194358E-04 5.77869541016739810E-05 5.35712964475638226E-05 5.52043386107383460E-01
1.03127186E-01 1.24927539125001388E-01 5.22610937181491116E-04 -2.16429279383422834E-04 5.78444579024444948E-05 5.36137156791281733E-05 5.52140160327135865E-01
1.10496814E-01 1.24923744587711910E-01 5.22718247300384196E-04 -2.68623706383407991E-04 5.79040545464362154E-05 5.36584082057674672E-05 5.52242806881662496E-01
