#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24924716012900311E-01 4.68467768164149449E-04 -5.45960823770080033E-18 3.00583884018344792E-04 3.22597368540288390E-04
1.47262156E-02 1.24912567458329071E-01 4.68432777036161181E-04 2.42750976047449263E-04 3.00584002763618552E-04 3.22556760099854036E-04
2.94625217E-02 1.24901528445122881E-01 4.68423101293229105E-04 2.81396826432354626E-04 3.00608616150042126E-04 3.22541117085858181E-04
4.42002869E-02 1.24890856084005658E-01 4.68435954252886138E-04 2.74461312742590817E-04 3.00653237947012906E-04 3.22547209202590432E-04
5.89399312E-02 1.24880299804613168E-01 4.68470401432134894E-04 2.52059983597010162E-04 3.00715340620955171E-04 3.22573999435034505E-04
7.36819333E-02 1.24869775227352611E-01 4.68526138448238313E-04 2.12754695979208811E-04 3.00793213726758017E-04 3.22621206906984533E-04
8.84267906E-02 1.24859253447064916E-01 4.68603075940206705E-04 1.56459528570728216E-04 3.00885576083062631E-04 3.22688818186703458E-04
1.03175006E-01 1.24848724072051109E-01 4.68701200933983994E-04 8.31163285449256081E-05 3.00991391966333108E-04 3.22776923415043148E-04
1.17926227E-01 1.24838183508646824E-01 4.68820523052219484E-04 -7.22046179311603626E-06 3.01109753068029519E-04 3.22885654128495262E-04
1.32679163E-01 1.24827630910972848E-01 4.68961052076833620E-04 -1.14490986796146962E-04 3.01239822327527328E-04 3.23015157443313496E-04
1.47434321E-01 1.24817064849078826E-01 4.69122818003332156E-04 -2.38634105522555394E-04 3.01380856361232650E-04 3.23165612292810190E-04
1.62192208E-01 1.24806484134003415E-01 4.69305858613050552E-04 -3.79584006531754877E-04 3.01532199014352550E-04 3.23337217150868614E-04
1.76953327E-01 1.24795887663722821E-01 4.69510218865776545E-04 -5.37270364546329387E-04 3.01693274289115522E-04 3.23530188668465549E-04
1.91718179E-01 1.24785274370917271E-01 4.69735950669841068E-04 -7.11618192788615600E-04 3.01863573585716826E-04 3.23744760817919240E-04
2.06487261E-01 1.24774643204863298E-01 4.69983112776091244E-04 -9.02547796973233465E-04 3.02042644180003806E-04 3.23981184232866688E-04
2.21261067E-01 1.24763993124834049E-01 4.70251770711231523E-04 -1.10997468309582460E-03 3.02230080583973262E-04 3.24239725634045618E-04
2.36040083E-01 1.24753323097427773E-01 4.70541996722506661E-04 -1.33380944188430501E-03 3.02425518479401060E-04 3.24520667300340218E-04
2.50824794E-01 1.24742632095283384E-01 4.70853869724600633E-04 -1.57395761926272049E-03 3.02628630684307611E-04 3.24824306568920022E-04
2.65615675E-01 1.24731919096304614E-01 4.71187475245894315E-04 -1.83031957492888419E-03 3.02839124492809404E-04 3.25150955357383497E-04
2.80413198E-01 1.24721183083092171E-01 4.71542905373413535E-04 -2.10279033261430307E-03 3.03056738569786120E-04 3.25500939704649053E-04
