#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24981176168378685E-01 4.68679415828199297E-04 3.58063961071907322E-18 1.79290909980760260E-06 1.66626177028174524E-06
7.36310778E-03 1.24977292562838363E-01 4.68667498037953791E-04 6.16480730230141932E-05 1.79303804401965833E-06 1.66627010907073522E-06
1.47275080E-02 1.24973689745606395E-01 4.68661926056608883E-04 7.22482742281419611E-05 1.79343166182629973E-06 1.66644190931770949E-06
2.20921221E-02 1.24970180377465032E-01 4.68661997232232112E-04 7.12429556523336006E-05 1.79404851700124431E-06 1.66675769676294008E-06
2.94570023E-02 1.24966701797004517E-01 4.68667476818097461E-04 6.62739347988353653E-05 1.79486822216608335E-06 1.66720796445885086E-06
3.68222084E-02 1.24963233066562290E-01 4.68678286964461946E-04 5.70365114876112385E-05 1.79584753076355919E-06 1.66777903967679545E-06
4.41878026E-02 1.24959767160027102E-01 4.68694402432978511E-04 4.34401284898238468E-05 1.79695368707036529E-06 1.66845523514162192E-06
5.15538477E-02 1.24956301688880930E-01 4.68715815818490644E-04 2.55058098979577067E-05 1.79816923254978429E-06 1.66922623723954900E-06
5.89202984E-02 1.24952835861637093E-01 4.68742525522146110E-04 3.23306304617285825E-06 1.79948443950809004E-06 1.67008578285608815E-06
6.62869947E-02 1.24949369456274564E-01 4.68774531465910649E-04 -2.33781026954820134E-05 1.80089329049096041E-06 1.67103004427311932E-06
7.36539998E-02 1.24945902317485105E-01 4.68811835225744382E-04 -5.43245937147832664E-05 1.80239083315575029E-06 1.67205649601925835E-06
8.10213771E-02 1.24942434347272729E-01 4.68854439032079999E-04 -8.96026566159374309E-05 1.80397179316917288E-06 1.67316294144387095E-06
8.83891897E-02 1.24938965466770580E-01 4.68902345626086444E-04 -1.29208088190590342E-04 1.80563102670351975E-06 1.67434721124940001E-06
9.57575007E-02 1.24935495603511762E-01 4.68955558211401106E-04 -1.73136359710043792E-04 1.80736402313116209E-06 1.67560724182142355E-06
1.03126373E-01 1.24932024687184728E-01 4.69014080437610422E-04 -2.21382660516202066E-04 1.80916694755983799E-06 1.67694115720568490E-06
1.10495870E-01 1.24928552648219809E-01 4.69077916394307478E-04 -2.73941909332993275E-04 1.81103654996831877E-06 1.67834734424028619E-06
