#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24924716012900311E-01 4.68467768164149449E-04 -5.45960823770080033E-18 1.01412074071381137E-05 9.42046787109295919E-06
1.47262156E-02 1.24916022403646076E-01 4.68445734131657922E-04 2.35970322477987380E-04 1.01435633793482076E-05 9.42107813866625112E-06
2.94623691E-02 1.24908437084019636E-01 4.68449015597707439E-04 2.47990502198062069E-04 1.01503828529759923E-05 9.42474140554840800E-06
4.41998293E-02 1.24901218059341554E-01 4.68474833728887118E-04 2.23805673739375585E-04 1.01608855877637009E-05 9.43106610788036643E-06
5.89390147E-02 1.24894116104425815E-01 4.68522263768391648E-04 1.84081990402585466E-04 1.01746389233172475E-05 9.43983674485264635E-06
7.36804012E-02 1.24887047697978426E-01 4.68591009262313112E-04 1.27415895097612809E-04 1.01909364605479793E-05 9.45080087796124169E-06
8.84244830E-02 1.24879984606636837E-01 4.68680988076264273E-04 5.38636132634784880E-05 1.02092294142572107E-05 9.46368682422706516E-06
1.03171759E-01 1.24872917032501723E-01 4.68792194165357993E-04 -3.68817107507573566E-05 1.02292163182498251E-05 9.47831389088928183E-06
1.17921914E-01 1.24865841715210493E-01 4.68924643589144392E-04 -1.44651983921385401E-04 1.02507150285996551E-05 9.49457006848689313E-06
1.32673628E-01 1.24858757929802278E-01 4.69078351115337919E-04 -2.69410530258671049E-04 1.02735928158679903E-05 9.51238240769968818E-06
1.47427405E-01 1.24851664761395698E-01 4.69253353460333418E-04 -4.11104215711092515E-04 1.02977405400969393E-05 9.53170076517407106E-06
1.62183746E-01 1.24844561524253841E-01 4.69449695092649492E-04 -5.69674853661410814E-04 1.03230612677961624E-05 9.55248643682127462E-06
1.76943150E-01 1.24837447609616570E-01 4.69667427635991344E-04 -7.45059659991540650E-04 1.03494656876334565E-05 9.57470451316352115E-06
1.91706112E-01 1.24830322434955981E-01 4.69906609649922203E-04 -9.37191147091355351E-04 1.03768768263749181E-05 9.59832617278605307E-06
2.06473122E-01 1.24823185427032635E-01 4.70167306534646800E-04 -1.14599708433177805E-03 1.04052248406063937E-05 9.62332377746152962E-06
2.21244669E-01 1.24816036016266868E-01 4.70449590475706533E-04 -1.37140040804295538E-03 1.04344512289440228E-05 9.64967607620925965E-06
2.36021234E-01 1.24808873634831438E-01 4.70753540400211583E-04 -1.61331910672810074E-03 1.04645059842432671E-05 9.67736651832919488E-06
2.50803294E-01 1.24801697716005591E-01 4.71079241935433608E-04 -1.87166609355398934E-03 1.04953445265446583E-05 9.70638085793070313E-06
2.65591321E-01 1.24794507693968632E-01 4.71426787366781091E-04 -2.14634906648480473E-03 1.05269279930211709E-05 9.73670756727121774E-06
2.80385780E-01 1.24787303003744035E-01 4.71796275594073408E-04 -2.43727036004333332E-03 1.05592236733899751E-05 9.76833826547609385E-06
2.95187129E-01 1.24780083081181936E-01 4.72187812085807939E-04 -2.74432678611358271E-03 1.05922038493353605E-05 9.80126749857698118E-06
3.09995821E-01 1.24772847362958517E-01 4.72601508831340192E-04 -3.06740946733931406E-03 1.06258417406821328E-05 9.83549206948772414E-06
3.24811026E-01 1.24765595909716628E-01 4.73037445867670141E-04 -3.40637420222054997E-03 1.06601045762688731E-05 9.87100770237715011E-06
3.39632051E-01 1.24758328717665165E-01 4.73495706504315709E-04 -3.76106853295781179E-03 1.06949573652009869E-05 9.90781193621381941E-06
3.54459353E-01 1.24751045217685763E-01 4.73976412086028092E-04 -4.13135837882882846E-03 1.07303688592755758E-05 9.94590638730045393E-06
3.69293384E-01 1.24743744841501553E-01 4.74479690386930874E-04 -4.51710379886268668E-03 1.07663114430028772E-05 9.98529425138817861E-06
3.84134587E-01 1.24736427021556615E-01 4.75005675553500967E-04 -4.91815862599830241E-03 1.08027615390465678E-05 1.00259804821319842E-05
3.98983399E-01 1.24729091190982522E-01 4.75554508045588774E-04 -5.33437017346893687E-03 1.08396988343120185E-05 1.00679715257430198E-05
4.13840246E-01 1.24721736783621154E-01 4.76126334575467376E-04 -5.76557902644348266E-03 1.08771055432063608E-05 1.01112750503538260E-05
4.28705547E-01 1.24714363234047818E-01 4.76721308044837568E-04 -6.21161882759227978E-03 1.09149661590917170E-05 1.01558999609580242E-05
4.43579713E-01 1.24706969977608079E-01 4.77339587479800611E-04 -6.67231605500382893E-03 1.09532674626003547E-05 1.02018564878327621E-05
4.58463144E-01 1.24699556450455828E-01 4.77981337963721451E-04 -7.14748979641195107E-03 1.09919985557094247E-05 1.02491561458348515E-05
4.73356229E-01 1.24692122089582982E-01 4.78646730568013797E-04 -7.63695151636728693E-03 1.10311508779598704E-05 1.02978115962388853E-05
4.88259351E-01 1.24684666332856700E-01 4.79335942280796038E-04 -8.14050481908433141E-03 1.10707180001660759E-05 1.03478365103986755E-05
5.03172879E-01 1.24677188619061158E-01 4.80049155933426840E-04 -8.65794520758795226E-03 1.11106946066791886E-05 1.03992454925730811E-05
5.18097173E-01 1.24669688387932090E-01 4.80786560124857440E-04 -9.18905983746562405E-03 1.11510744385107419E-05 1.04520540623215742E-05
5.33032583E-01 1.24662165080200504E-01 4.81548349143756974E-04 -9.73362726907055567E-03 1.11918487404137065E-05 1.05062786622031968E-05
5.47979017E-01 1.24654618354551439E-01 4.82334699931475958E-04 -1.02914010171773190E-02 1.12330058111864089E-05 1.05619350398484519E-05
5.62935270E-01 1.24647048429873328E-01 4.83145731562097396E-04 -1.08620815858869561E-02 1.12745310900366682E-05 1.06190354362500709E-05
5.77901702E-01 1.24639454734779498E-01 4.83981647771821724E-04 -1.14454170963157915E-02 1.13164158613907181E-05 1.06775986247421577E-05
5.92878660E-01 1.24631836699150914E-01 4.84842657853060794E-04 -1.20411465544137432E-02 1.13586532597956961E-05 1.07376442311338485E-05
6.07866481E-01 1.24624193753942833E-01 4.85728976568034930E-04 -1.26489995256643447E-02 1.14012380977583247E-05 1.07991926914281850E-05
6.22865489E-01 1.24616525331146852E-01 4.86640824060179838E-04 -1.32686958669536986E-02 1.14441666343343598E-05 1.08622652123361575E-05
6.37875998E-01 1.24608830863809320E-01 4.87578425763391353E-04 -1.38999454754165763E-02 1.14874364051857858E-05 1.09268837400352139E-05
6.52898307E-01 1.24601109786071113E-01 4.88542012309084212E-04 -1.45424480432030743E-02 1.15310461051968751E-05 1.09930709393925214E-05
