#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction MeanStrainRate
0 1.24699045417061311E-01 5.20780606989176462E-04 -1.14385921606686266E-17 5.73233284473671973E-05 5.31578589125790738E-05 0.00000000000000000E+00
2.94524311E-02 1.24677404548092563E-01 5.20756978086542028E-04 9.35582047480127050E-04 5.73643695156736560E-05 5.31733622214596076E-05 5.50719414183921119E-01
5.89828622E-02 1.24659979659651421E-01 5.20890276137405349E-04 9.24734686230820947E-04 5.74788558465350001E-05 5.32455137734730478E-05 5.50762932817815409E-01
8.85221650E-02 1.24643907876187274E-01 5.21161778166433763E-04 7.95902307132921117E-04 5.76518254820546877E-05 5.33662312482006729E-05 5.50960383611237114E-01
1.18073646E-01 1.24628215906484319E-01 5.21563146446488244E-04 6.10523115893787591E-04 5.78738213541918402E-05 5.35306344986703850E-05 5.51276278224635874E-01
1.47641039E-01 1.24612574732799977E-01 5.22088885525721197E-04 3.61211809864618952E-04 5.81336221573296635E-05 5.37341642433846711E-05 5.51691338391813058E-01
1.77228183E-01 1.24596870906502830E-01 5.22734596418948910E-04 4.80375632495093580E-05 5.84223440785729023E-05 5.39724437712644774E-05 5.52193027203161879E-01
2.06838908E-01 1.24581062953829633E-01 5.23497823873929737E-04 -3.28870087323225515E-04 5.87349027690876654E-05 5.42426659150535749E-05 5.52772332226462715E-01
2.36472412E-01 1.24565135910991914E-01 5.24377333853494245E-04 -7.68666537217924432E-04 5.90679605148937119E-05 5.45431475717163378E-05 5.53422157570130802E-01
2.66116669E-01 1.24549088949429163E-01 5.25372370336000551E-04 -1.27052401959432126E-03 5.94188757786964292E-05 5.48728714601777961E-05 5.54136156790218104E-01
2.95775606E-01 1.24532915447617160E-01 5.26482960354043785E-04 -1.83354997371162594E-03 5.97854533378707194E-05 5.52312467719499341E-05 5.54908057844354041E-01
3.25453082E-01 1.24516609706954245E-01 5.27709652645215552E-04 -2.45679480949203199E-03 6.01660453469204389E-05 5.56180994667661988E-05 5.55732493779015790E-01
3.55152871E-01 1.24500166341405344E-01 5.29053272618916297E-04 -3.13922215478766239E-03 6.05593229231774500E-05 5.60334311010377180E-05 5.56604870016951248E-01
3.84878650E-01 1.24483580072462491E-01 5.30514814165297297E-04 -3.87970081731305082E-03 6.09641416384683094E-05 5.64773131593795128E-05 5.57521358445533299E-01
4.14633986E-01 1.24466845662235870E-01 5.32095484504457178E-04 -4.67699970304816942E-03 6.13795592439636073E-05 5.69499340860949509E-05 5.58478784260473149E-01
4.44422327E-01 1.24449957891895696E-01 5.33796720094632912E-04 -5.52978220091445132E-03 6.18048303575527159E-05 5.74516173830249009E-05 5.59474511379462691E-01
4.74246987E-01 1.24432911555110881E-01 5.35620168445498433E-04 -6.43660017346135965E-03 6.22393764886379524E-05 5.79828057341690904E-05 5.60506356933223371E-01
5.04111137E-01 1.24415701457008240E-01 5.37567662940003537E-04 -7.39588764651595218E-03 6.26827563869733262E-05 5.85440382963007489E-05 5.61572534179324623E-01
5.34017795E-01 1.24398322415584364E-01 5.39641207110302208E-04 -8.40595427459764170E-03 6.31346535476327961E-05 5.91359376127793910E-05 5.62671617688579317E-01
5.63969817E-01 1.24380769264318639E-01 5.41842969618920589E-04 -9.46497865680125117E-03 6.35948757830600604E-05 5.97592074065040824E-05 5.63802522886608593E-01
5.93969891E-01 1.24363036855312400E-01 5.44175277529862739E-04 -1.05710015822909256E-02 6.40633314285084709E-05 6.04146288392253016E-05 5.64964481996934831E-01
6.24020523E-01 1.24345120062770528E-01 5.46640604485371193E-04 -1.17219192924638057E-02 6.45399520207511052E-05 6.11030518534573064E-05 5.66156975801654028E-01
6.54124037E-01 1.24327013786912188E-01 5.49241558975238609E-04 -1.29154768594342238E-02 6.50245965543378221E-05 6.18253867840641124E-05 5.67379581054325399E-01
6.84282567E-01 1.24308712958385234E-01 5.51980876462820165E-04 -1.41492617871922209E-02 6.55170369269668314E-05 6.25826000065298578E-05 5.68631796663144007E-01
7.14489574E-01 1.24290217700758848E-01 5.54860587421402546E-04 -1.54203444973905444E-02 6.60168943133130064E-05 6.33754856138776779E-05 5.69913017809855149E-01
7.44742662E-01 1.24271525677596070E-01 5.57883127824339124E-04 -1.67257685129650370E-02 6.65239205139708204E-05 6.42049739587628802E-05 5.71222307864033940E-01
7.75044144E-01 1.24252631655144635E-01 5.61051490420903451E-04 -1.80626119369736785E-02 6.70380367166073385E-05 6.50721710687492708E-05 5.72559083903280808E-01
8.05396133E-01 1.24233530449942273E-01 5.64368784178412297E-04 -1.94277904480092099E-02 6.75592478675352752E-05 6.59782364026885736E-05 5.73923225262512604E-01
8.35800539E-01 1.24214216924551091E-01 5.67838227617981626E-04 -2.08180485621837115E-02 6.80876299701526364E-05 6.69243805464635069E-05 5.75314869416963304E-01
8.66259062E-01 1.24194685989217943E-01 5.71463141889166134E-04 -2.22299566178060133E-02 6.86233190487822226E-05 6.79118628323010305E-05 5.76734393682564295E-01
8.96773194E-01 1.24174932605488494E-01 5.75246943723007904E-04 -2.36599088590662733E-02 6.91665015456552351E-05 6.89419890259583426E-05 5.78182393704907649E-01
9.27344210E-01 1.24154951790263812E-01 5.79193138271287956E-04 -2.51041227285179330E-02 6.97174031880980173E-05 7.00161090902726244E-05 5.79659659818699713E-01
9.57973174E-01 1.24134738619767357E-01 5.83305311788366067E-04 -2.65586395197744685E-02 7.02762737378118395E-05 7.11356149798783035E-05 5.81167146167542725E-01
9.88660935E-01 1.24114288233197700E-01 5.87587124096415527E-04 -2.80193265493994224E-02 7.08433682775678103E-05 7.23019384048703413E-05 5.82705928188730238E-01
1.01940813E+00 1.24093595835943135E-01 5.92042300773568575E-04 -2.94818809976234719E-02 7.14189305394761484E-05 7.35165484985042577E-05 5.84277151478118761E-01
1.05021517E+00 1.24072656702277254E-01 5.96674625021940616E-04 -3.09418355612626934E-02 7.20031855225978352E-05 7.47809493398118662E-05 5.85881985821115947E-01
1.08108228E+00 1.24051466177425809E-01 6.01487929214344517E-04 -3.23945660318014916E-02 7.25963437062603057E-05 7.60966773211065343E-05 5.87521601798932314E-01
1.11200945E+00 1.24030019678865636E-01 6.06486086167653030E-04 -3.38353008887364165E-02 7.31986117795734384E-05 7.74652983957603623E-05 5.89197176175507820E-01
1.14299648E+00 1.24008312696713197E-01 6.11673000223133981E-04 -3.52591329980410859E-02 7.38102024503845135E-05 7.88884052690904975E-05 5.90909915161729193E-01
1.17404298E+00 1.23986340793048891E-01 6.17052598230691750E-04 -3.66610335354968231E-02 7.44313391733405697E-05 8.03676146065770286E-05 5.92661077916618151E-01
1.20514834E+00 1.23964099600050989E-01 6.22628820567150865E-04 -3.80358682487510411E-02 7.50622556384480125E-05 8.19045643613117326E-05 5.94451988776435569E-01
1.23631179E+00 1.23941584816819148E-01 6.28405612406387495E-04 -3.93784160596017188E-02 7.57031917336766278E-05 8.35009114048801111E-05 5.96284035784749533E-01
1.26753236E+00 1.23918792204779291E-01 6.34386915618886070E-04 -4.06833899086579062E-02 7.63543879588820011E-05 8.51583297998169050E-05 5.98158658245618313E-01
1.29880890E+00 1.23895717581557180E-01 6.40576661878142477E-04 -4.19454597321379796E-02 7.70160800752708728E-05 8.68785102457562681E-05 6.00077327444044961E-01
1.33014012E+00 1.23872356813200760E-01 6.46978767684484434E-04 -4.31592774830775461E-02 7.76884955078601991E-05 8.86631613582877489E-05 6.02041524621763413E-01
1.36152456E+00 1.23848705804618903E-01 6.53597131901875175E-04 -4.43195040769052348E-02 7.83718524999700160E-05 9.05140133185056893E-05 6.04052719834146656E-01
1.39296062E+00 1.23824760488086369E-01 6.60435635858051991E-04 -4.54208380755853208E-02 7.90663620530354926E-05 9.24328238800297222E-05 6.06112354425405453E-01
1.42444656E+00 1.23800516809672190E-01 6.67498145061884689E-04 -4.64580458620924702E-02 7.97722313987256419E-05 9.44213857180595934E-05 6.08221828418306742E-01
1.45598054E+00 1.23775970713485464E-01 6.74788510460307112E-04 -4.74259930061694673E-02 8.04896666286537620E-05 9.64815329679531502E-05 6.10382492442852254E-01
1.48756060E+00 1.23751118123717696E-01 6.82310566506176704E-04 -4.83196764832125383E-02 8.12188717337683757E-05 9.86151441442416175E-05 6.12595642559904507E-01
1.51918469E+00 1.23725954924604101E-01 6.90068123659521161E-04 -4.91342573694553697E-02 8.19600419724194311E-05 1.00824138976785547E-04 6.14862515925961639E-01
1.55085068E+00 1.23700476938552753E-01 6.98064954597578369E-04 -4.98650936088302146E-02 8.27133512318553327E-05 1.03110468348794826E-04 6.17184285667687682E-01
1.58255640E+00 1.23674679902826726E-01 7.06304777374180482E-04 -5.05077724190133165E-02 8.34789364380911762E-05 1.05476100483042708E-04 6.19562054201180046E-01
1.61429962E+00 1.23648559445129744E-01 7.14791245953143046E-04 -5.10581543481461869E-02 8.42568873592577157E-05 1.07923013705700057E-04 6.21996845104759166E-01
1.64607808E+00 1.23622111058211859E-01 7.23527963386950469E-04 -5.15123395044307375E-02 8.50472527952638623E-05 1.10453210967895803E-04 6.24489594251104285E-01
